Batman - The Movie Review. But this for my kids and it was the most boring movie I have ever watched.The shows are more entertaining to watch then the movie 
Case Study of County Politics. This film tells a story about LaSalle Parish in Louisiana and by extension the rest of America . Sheriff Darryl is shown handling the rigors 
no teeth to this one. Maybe I was just expecting something like Jaws but I didn t think this movie that great. I watched it twice now only because I 
Direct to video potboiler re-tread that never should have been made. This direct to video sequel is actually more of a re-tread of the original 1998 guilty pleasure erotic thriller 
Cant watch. I downloaded this program and it was garbled and video as if played in slow motion. This is the first of two downloads that didn t play. I 
Avoid this bootleg. This DVD is a poor quality bootleg. The real U.S. title of this film is Master Killer , but the original title is 36th Chamber of Shaolin 
BO-ring!!!!. Possibly one of the worst movies ever made, Bo and John Derek managed to massacre the Tarzan legend while wreaking cinematic havoc with this unbelievably bad waste of celluloid. 
GARBAGE. This movie was really a waste of money. the writing the directin are all very bad. it is also very low budget which i thought would increase the realness 
Not happy. This is only a portion of this episode. It cuts off in the middle of a sentence  
Do the right thing...avoid this movie. I would not go so far as to say this movie is terrible. I would say it is self-important, immature, obvious, and overwhelmingly one-sided. 
What about the missing episodes. Why should one buy this series? What about the missing episodes? Are they going to be added later, or this is it? I cannot believe 
Missing episodes. This series is being sold with missing episodes, like many others here in Unbox. Do they think their customers are so dumb? Would you buy a DVD series 
Same Thing. The Dane Cook episode is the same one that it on his Harmful If Swallowed c.d. The c.d. also has the uncensored version of this routine that is 
The end of a great show begins. THE TRANSFORMERS gets my vote as the worst movie of the 1980 s. It pains me to say this for I am a 
Boring to watch. The actors spend too much time just staring at each other without speaking. The story is too unbelievable too. It was a waste of my money to 
Cant watch. I downloaded this program and it was garbled and video as if played in slow motion. This is the first of two downloads that didn t play. I 
Read the book. For the times this movie was made, the acting is good. I would love to see this same story done in more modern times where I believe 
TERRIBLY MADE. I have no idea why I saw this movie in the first place, perhaps it was because The Jungle Book is a fascinating story. However I was realy 
Easy Come Easy Go should be for boats fans. If you got Elvis Presley and Dodie Marshall and put them in the same film you will have Easy Come Easy 
BIg Zach!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! www.bigzach.com. The only seen that i like is where he had Crap all over the walls of the bathroom and Bob Saget went crazy yelling  
Bad Device. I wish that Amazon can get it right, that when you create a service you do not have to go into some s computer and screw around, Shame 
A lot of green light and not much else. Rule number one if you re making a Stephen King movie, especially if it s a TV movie; make it scary 
What s up with that?. I wish I had read the other reviews first. Though the quality of the episode and the video are top notch, the episode cuts off 
What about the missing episodes. Why should one buy this series? What about the missing episodes? Are they going to be added later, or this is it? I cannot believe 
It certainly doesn t age well. I have wanted to see this movie since it came out in 1981 when I was first becoming interested in 60s radicalism I was 
Not Happy. I m a fan of NCIS, but living in australia means that the episodes and dvd s area released months behind those in the USA. Why is this 
Mini screen version of big screen musical. I absolutely love Oklahoma - one of my all-time favorites! Too bad the display is reduced to a thin 6 wide ribbon, leaving 
UnBox video not yet working. Will not play once video was downloaded. I get the error message: can not play file, please try again later. error# 0x80040273 I made the 
Very Poor - except for Rory Block s performance. I agree with most of the other reviewers that this is a very weak production with lots of pretentious talk and 
Kids found it boring. If you re trying to instill an appreciation for classical music -- and I can t imagine any other reason to show Peter and the Wolf 
Inferior sequel. I loved Mortal Kombat,and I thought the sequel would carry on the great Kombat legacy.I was heartily dissapointed when I saw annihilation.Brian Johnson was cool as Khan,but some 
